Time,Voltage
0.000000000,0.019994
0.000005000,0.025757
0.000010000,0.007283
0.000015000,0.009023
0.000020000,0.036867
0.000025000,-0.018834
0.000030000,0.046572
0.000035000,0.032023
0.000040000,0.053014
0.000045000,0.039958
0.000050000,-0.006452
0.000055000,0.039593
0.000060000,-0.004354
0.000065000,0.031770
0.000070000,0.013589
0.000075000,0.018549
0.000080000,0.026640
0.000085000,0.013312
0.000090000,0.018776
0.000095000,0.022881
0.000100000,0.042677
0.000105000,0.649876
0.000110000,1.345526
0.000115000,1.983794
0.000120000,2.624901
0.000125000,3.250972
0.000130000,3.289577
0.000135000,3.273711
0.000140000,3.295496
0.000145000,3.299853
0.000150000,3.280829
0.000155000,3.299157
0.000160000,3.298424
0.000165000,3.294899
0.000170000,3.290871
0.000175000,3.296913
0.000180000,3.296491
0.000185000,3.311133
0.000190000,3.290380
0.000195000,3.293519
0.000200000,3.317884
0.000205000,3.305043
0.000210000,3.296225
0.000215000,3.289926
0.000220000,3.310693
0.000225000,3.280525
0.000230000,3.301679
0.000235000,3.295775
0.000240000,3.308956
0.000245000,3.266402
0.000250000,3.298238
0.000255000,3.281439
0.000260000,3.310811
0.000265000,3.306488
0.000270000,3.293815
0.000275000,3.313158
0.000280000,3.309341
0.000285000,3.307895
0.000290000,3.294321
0.000295000,3.293933
0.000300000,3.327659
0.000305000,3.311350
0.000310000,3.278774
0.000315000,3.290569
0.000320000,3.296684
0.000325000,3.298669
0.000330000,3.288306
0.000335000,3.297185
0.000340000,3.313301
0.000345000,3.299146
0.000350000,3.286588
0.000355000,3.303787
0.000360000,3.302362
0.000365000,3.301227
0.000370000,3.283602
0.000375000,3.313423
0.000380000,3.297107
0.000385000,3.286582
0.000390000,3.298371
0.000395000,3.282987
0.000400000,3.295154
0.000405000,3.305663
0.000410000,3.306335
0.000415000,3.323155
0.000420000,3.294873
0.000425000,3.312219
0.000430000,3.327978
0.000435000,3.309333
0.000440000,3.284886
0.000445000,3.283103
0.000450000,3.328886
0.000455000,3.307596
0.000460000,3.303299
0.000465000,3.276782
0.000470000,3.284664
0.000475000,3.289012
0.000480000,3.309165
0.000485000,3.313370
0.000490000,3.293731
0.000495000,3.316927
0.000500000,3.302332
0.000505000,2.786324
0.000510000,2.246120
0.000515000,1.700404
0.000520000,1.124704
0.000525000,0.580460
0.000530000,0.066053
0.000535000,-0.007437
0.000540000,0.002189
0.000545000,0.029165
0.000550000,0.012145
0.000555000,0.030265
0.000560000,0.011131
0.000565000,0.017513
0.000570000,0.008759
0.000575000,0.007350
0.000580000,0.009743
0.000585000,0.018421
0.000590000,0.038859
0.000595000,0.033895
0.000600000,0.032783
0.000605000,0.014429
0.000610000,0.041401
0.000615000,0.009112
0.000620000,0.038010
0.000625000,0.005471
0.000630000,-0.002848
0.000635000,0.020526
0.000640000,0.046453
0.000645000,0.003347
0.000650000,0.014240
0.000655000,0.020794
0.000660000,0.004423
0.000665000,0.009452
0.000670000,0.028833
0.000675000,0.030705
0.000680000,0.031962
0.000685000,0.033804
0.000690000,0.019309
0.000695000,0.008446
0.000700000,0.036559
0.000705000,0.004725
0.000710000,0.040820
0.000715000,0.031463
0.000720000,0.012884
0.000725000,-0.018823
0.000730000,0.030614
0.000735000,0.036097
0.000740000,0.020338
0.000745000,0.014914
0.000750000,0.034480
0.000755000,0.047740
0.000760000,0.002518
0.000765000,0.024936
0.000770000,0.016884
0.000775000,-0.000722
0.000780000,0.013385
0.000785000,0.017733
0.000790000,0.001523
0.000795000,0.046532
0.000800000,0.050334
0.000805000,0.053480
0.000810000,0.005656
0.000815000,0.014485
0.000820000,0.035164
0.000825000,-0.003769
0.000830000,0.008588
0.000835000,0.025518
0.000840000,-0.003073
0.000845000,0.005998
0.000850000,0.008437
0.000855000,0.006536
0.000860000,0.028382
0.000865000,0.021589
0.000870000,0.006683
0.000875000,0.034846
0.000880000,-0.011949
0.000885000,0.037436
0.000890000,0.042940
0.000895000,0.049397
0.000900000,0.008614
0.000905000,0.027315
0.000910000,-0.006790
0.000915000,0.051122
0.000920000,0.002987
0.000925000,0.019681
0.000930000,0.017639
0.000935000,0.020061
0.000940000,0.019238
0.000945000,0.012935
0.000950000,0.036283
0.000955000,0.041838
0.000960000,0.007033
0.000965000,0.031334
0.000970000,0.023853
0.000975000,0.044570
0.000980000,0.002319
0.000985000,0.015739
0.000990000,0.022120
0.000995000,0.002379
0.001000000,0.019441
0.001005000,0.011307
0.001010000,0.025928
0.001015000,0.014233
0.001020000,0.021914
0.001025000,0.012132
0.001030000,-0.002613
0.001035000,0.015908
0.001040000,0.005607
0.001045000,0.023831
0.001050000,0.012737
0.001055000,0.020556
0.001060000,0.043309
0.001065000,0.016810
0.001070000,-0.005605
0.001075000,0.016089
0.001080000,-0.002116
0.001085000,0.032097
0.001090000,0.017290
0.001095000,-0.005212
0.001100000,0.018063
0.001105000,0.478482
0.001110000,1.129884
0.001115000,1.812658
0.001120000,2.484606
0.001125000,3.087173
0.001130000,3.290093
0.001135000,3.279914
0.001140000,3.300127
0.001145000,3.299408
0.001150000,3.290278
0.001155000,3.306428
0.001160000,3.292455
0.001165000,3.309938
0.001170000,3.276358
0.001175000,3.298619
0.001180000,3.313320
0.001185000,3.285444
0.001190000,3.293470
0.001195000,3.295443
0.001200000,3.301325
0.001205000,3.304686
0.001210000,3.313482
0.001215000,3.299062
0.001220000,3.302993
0.001225000,3.304853
0.001230000,3.303480
0.001235000,3.308230
0.001240000,3.320278
0.001245000,3.314138
0.001250000,3.274815
0.001255000,3.275600
0.001260000,3.267989
0.001265000,3.303515
0.001270000,3.299319
0.001275000,3.290127
0.001280000,3.301748
0.001285000,3.312577
0.001290000,3.307572
0.001295000,3.288747
0.001300000,3.306850
0.001305000,3.299350
0.001310000,3.292855
0.001315000,3.282648
0.001320000,3.316792
0.001325000,3.300017
0.001330000,3.316289
0.001335000,3.317021
0.001340000,3.336247
0.001345000,3.308406
0.001350000,3.313625
0.001355000,3.300962
0.001360000,3.317880
0.001365000,3.302784
0.001370000,3.281845
0.001375000,3.279551
0.001380000,3.292218
0.001385000,3.287879
0.001390000,3.317255
0.001395000,3.322361
0.001400000,3.292973
0.001405000,3.302879
0.001410000,3.290641
0.001415000,3.271134
0.001420000,3.313808
0.001425000,3.310934
0.001430000,3.302758
0.001435000,3.296585
0.001440000,3.286479
0.001445000,3.317309
0.001450000,3.289886
0.001455000,3.357280
0.001460000,3.313935
0.001465000,3.300046
0.001470000,3.294672
0.001475000,3.307904
0.001480000,3.296219
0.001485000,3.287673
0.001490000,3.299520
0.001495000,3.308270
0.001500000,3.255652
0.001505000,2.890018
0.001510000,2.335703
0.001515000,1.798706
0.001520000,1.248165
0.001525000,0.680420
0.001530000,0.136948
0.001535000,0.020312
0.001540000,0.001426
0.001545000,0.020309
0.001550000,0.011323
0.001555000,0.016392
0.001560000,-0.004471
0.001565000,0.038516
0.001570000,0.031227
0.001575000,0.048803
0.001580000,0.033996
0.001585000,0.005766
0.001590000,0.016046
0.001595000,0.017326
0.001600000,-0.009163
0.001605000,0.014336
0.001610000,0.013579
0.001615000,0.041557
0.001620000,0.001231
0.001625000,0.020735
0.001630000,-0.008704
0.001635000,0.018240
0.001640000,0.022310
0.001645000,0.007940
0.001650000,-0.002968
0.001655000,0.022631
0.001660000,0.033584
0.001665000,0.020138
0.001670000,0.041344
0.001675000,0.035867
0.001680000,0.052413
0.001685000,0.015220
0.001690000,0.014499
0.001695000,0.006213
0.001700000,-0.000799
0.001705000,0.018431
0.001710000,0.034655
0.001715000,0.056653
0.001720000,-0.006241
0.001725000,0.006986
0.001730000,0.029091
0.001735000,0.030317
0.001740000,0.078821
0.001745000,0.030777
0.001750000,0.019361
0.001755000,0.014517
0.001760000,0.011944
0.001765000,0.014572
0.001770000,0.012637
0.001775000,0.015775
0.001780000,0.020554
0.001785000,-0.015882
0.001790000,0.037277
0.001795000,0.002869
0.001800000,0.013071
0.001805000,0.044938
0.001810000,0.007661
0.001815000,0.022540
0.001820000,0.016345
0.001825000,0.023793
0.001830000,-0.006837
0.001835000,-0.013402
0.001840000,0.046268
0.001845000,0.033108
0.001850000,0.037094
0.001855000,0.028678
0.001860000,0.040061
0.001865000,0.037492
0.001870000,0.000810
0.001875000,0.009254
0.001880000,0.014880
0.001885000,0.019068
0.001890000,0.037569
0.001895000,0.024054
0.001900000,0.014480
0.001905000,0.023596
0.001910000,0.036045
0.001915000,0.014250
0.001920000,0.019422
0.001925000,0.021504
0.001930000,0.014692
0.001935000,0.027665
0.001940000,0.023086
0.001945000,0.023376
0.001950000,0.002031
0.001955000,0.014562
0.001960000,0.033162
0.001965000,0.040039
0.001970000,0.014233
0.001975000,0.015388
0.001980000,0.018035
0.001985000,0.032877
0.001990000,-0.015667
0.001995000,0.034949
0.002000000,0.043903
0.002005000,0.021451
0.002010000,0.040339
0.002015000,0.012853
0.002020000,0.009994
0.002025000,0.021608
0.002030000,0.027187
0.002035000,0.017035
0.002040000,0.010746
0.002045000,0.014898
0.002050000,0.006509
0.002055000,0.030233
0.002060000,0.034471
0.002065000,0.030607
0.002070000,0.020880
0.002075000,0.040643
0.002080000,0.019605
0.002085000,0.031392
0.002090000,-0.016883
0.002095000,0.040683
0.002100000,0.009733
0.002105000,0.289119
0.002110000,0.966885
0.002115000,1.613970
0.002120000,2.271100
